Nombre,Tipo,Fecha_Desde ,Fecha_Hasta,País,Lugar,Territorio,Entidad,Escenario,Descripcion_del_Evento,Pagina_Web,email
3 COPA MUNDO DE TIRO CON ARCO,Copa Mundo,15/07/2013,21/07/2013,COLOMBIA,Medellín, Antioquia,FEDERACIÓN ARQUEROS DE COLOMBIA,,,,
JUEGOS MUNDIALES CALI 2013,Juegos Mundiales,25/07/2013,04/08/2013,COLOMBIA,Cali,Valle del Cauca,FEDERACIÓN ARQUEROS DE COLOMBIA,,,,
5 PARADA REGIONAL DE TIRO CON ARCO,Evento de Preparacion Deportiva,05/08/2013,30/08/2013,COLOMBIA,Monteria , Córdoba,FEDERACIÓN ARQUEROS DE COLOMBIA,,,,
4 COPA MUNDO DE TRIO CON ARCO,Copa Mundo,12/08/2013,18/08/2013,POLONIA,Woroclaw,,FEDERACIÓN ARQUEROS DE COLOMBIA,,,,
CURSO DE ENTRENADORES MODALIDAD RECURVO,Evento Académico,12/08/2013,15/08/2013,COLOMBIA,Bogotá D.C. , Bogotá D.C.,FEDERACIÓN ARQUEROS DE COLOMBIA,,,,
CURSO DE ENTRENADORES MODALIDAD RECURVO,Evento Académico,12/08/2013,15/08/2013,COLOMBIA,Bogotá D.C. , Bogotá D.C.,FEDERACIÓN ARQUEROS DE COLOMBIA,,,,
5º CAMPEONATO NACIONAL INTERLIGAS,Campeonato Nacional,16/08/2013,18/08/2013,COLOMBIA,Bogotá D.C. , Bogotá D.C.,FEDERACIÓN ARQUEROS DE COLOMBIA,,,,
RANKING MUNDIAL,Campeonato Centroamericano y del Caribe,17/08/2013,25/08/2013,COSTA RICA,San José,,FEDERACIÓN ARQUEROS DE COLOMBIA,,,,
6 PARADA REGIONAL DE FORMACION DE ARQUEROS,Evento de Preparacion Deportiva,02/09/2013,27/09/2013,COLOMBIA,Soacha,Cundinamarca,FEDERACIÓN ARQUEROS DE COLOMBIA,,,,
World Archery Championships,Campeonato Mundial,29/09/2013,06/10/2013,TURQUIA,Antalya,,FEDERACIÓN ARQUEROS DE COLOMBIA,,,,
7ª PARADA REGIONAL DE FORMACION DE ARQUEROS,Evento de Preparacion Deportiva,07/10/2013,28/10/2013,COLOMBIA,Villavicencio , Meta,FEDERACIÓN ARQUEROS DE COLOMBIA,,,,
WORLD ARCHERY YOUNTH CHAMPIONSHIPS,Campeonato Mundial,13/10/2013,20/10/2013,CHINA,Wuxi,,FEDERACIÓN ARQUEROS DE COLOMBIA,,,,
TORNEO RANKING MUNDIAL,Campeonato Mundial,25/10/2013,02/11/2013,CHILE,Santiago de Chile,,FEDERACIÓN ARQUEROS DE COLOMBIA,,,,
III TORNEO RANKING MUNDIAL,Campeonato Suramericano,25/10/2013,02/11/2013,CHILE,Santiago de Chile,,FEDERACIÓN ARQUEROS DE COLOMBIA,,,,
EVENTO CLASIFICATORIO A LOS JUEGOS OLIMPICOS JUVENILES 2014,Clasificatorio al Mundial,01/11/2013,30/11/2013,ARGENTINA,Buenos Aires,,FEDERACIÓN ARQUEROS DE COLOMBIA,,,,
8ª PARADA REGIONAL DE FORMACION DE ARQUEROS,Evento de Preparacion Deportiva,04/11/2013,15/11/2013,COLOMBIA,Bucaramanga , Santander,FEDERACIÓN ARQUEROS DE COLOMBIA,,,,
XVII JUEGOS BOLIVARIANOS,Juegos Bolivarianos,16/11/2013,30/11/2013,PERU,Trujillo,,FEDERACIÓN ARQUEROS DE COLOMBIA,,,,
III CAMPEONATO ESCOLAR DE TIRO CON ARCO,Campeonato Nacional,28/11/2013,01/12/2013,COLOMBIA,Bogotá D.C. , Bogotá D.C.,FEDERACIÓN ARQUEROS DE COLOMBIA,,,,
