Subject,Start Date,End Date,Description,Location,País,Territorio,Entidad
Campeonato Panamericano de Enduro,09/25/2013,09/27/2013,Campeonato Panamericano,Trinidad,URUGUAY,,FEDERACIÓN ECUESTRE DE COLOMBIA
Concurso Nacional de Vaulting,09/28/2013,09/29/2013,Torneo Abierto,Bogotá D.C. ,COLOMBIA, Bogotá D.C.,FEDERACIÓN ECUESTRE DE COLOMBIA
Carrera Nacional de Endurance,09/28/2013,09/28/2013,Torneo Abierto,Duitama ,COLOMBIA, Boyacá,FEDERACIÓN ECUESTRE DE COLOMBIA
Clinica para Jinetes de Salto en Medellin y Cali,10/02/2013,10/30/2013,Evento de Preparacion Deportiva,Cali ,COLOMBIA, Valle del Cauca,FEDERACIÓN ECUESTRE DE COLOMBIA
Concurso Nacional de Salto Selectiva Juegos Bolivarianos,10/03/2013,10/06/2013,Torneo Abierto,Bogotá D.C. ,COLOMBIA, Bogotá D.C.,FEDERACIÓN ECUESTRE DE COLOMBIA
Clinica para Jinetes de Adiestramiento,10/17/2013,10/20/2013,Evento de Preparacion Deportiva,Bogotá D.C. ,COLOMBIA, Bogotá D.C.,FEDERACIÓN ECUESTRE DE COLOMBIA
Campeonato Prueba Completa 2013,10/17/2013,10/20/2013,Campeonato Nacional,Duitama ,COLOMBIA, Boyacá,FEDERACIÓN ECUESTRE DE COLOMBIA
Curso FEI para Jueces y Oficiales de Enduro,10/23/2013,10/25/2013,Evento de Preparacion Deportiva,Bogotá D.C. ,COLOMBIA, Bogotá D.C.,FEDERACIÓN ECUESTRE DE COLOMBIA
Concurso Interligas de Salto,10/24/2013,10/27/2013,Torneo Abierto,Cajica ,COLOMBIA, Cundinamarca,FEDERACIÓN ECUESTRE DE COLOMBIA
Campeonatos Nacionales de Adiestramiento 2013,10/24/2013,10/27/2013,Campeonato Nacional,Bogotá D.C. ,COLOMBIA, Bogotá D.C.,FEDERACIÓN ECUESTRE DE COLOMBIA
"CEI1,2 Y 3 Campeonatos Nacionales de Enduro 2013",10/26/2013,10/27/2013,Campeonato Nacional,Mosquera ,COLOMBIA, Cundinamarca,FEDERACIÓN ECUESTRE DE COLOMBIA
Concurso Nacional de Vaulting,10/26/2013,10/27/2013,Torneo Abierto,Cota ,COLOMBIA, Cundinamarca,FEDERACIÓN ECUESTRE DE COLOMBIA
FEI World Dresssage Challenge,11/01/2013,11/03/2013,Torneo Abierto,Bogotá D.C. ,COLOMBIA, Bogotá D.C.,FEDERACIÓN ECUESTRE DE COLOMBIA
Campeonato Colombiano Intermedia y Equipos,11/01/2013,11/04/2013,Campeonato Nacional,Bogotá D.C. ,COLOMBIA, Bogotá D.C.,FEDERACIÓN ECUESTRE DE COLOMBIA
"Campeonato Preinfantil, Infantil y Jinetes 0.80 Mts",11/08/2013,11/11/2013,Campeonato Nacional,Cajica ,COLOMBIA, Cundinamarca,FEDERACIÓN ECUESTRE DE COLOMBIA
Campeonatos Nacionales y Clinica para Jueces y Jinetes de Vaulting,11/12/2013,11/17/2013,Campeonato Nacional,Bogotá D.C. ,COLOMBIA, Bogotá D.C.,FEDERACIÓN ECUESTRE DE COLOMBIA
Campeonato Juvenil Jinetes 1.20Mts y Jinetes 1.00Mts,11/14/2013,11/17/2013,Campeonato Nacional,Bogotá D.C. ,COLOMBIA, Bogotá D.C.,FEDERACIÓN ECUESTRE DE COLOMBIA
Juegos Bolivarianos 2013,11/14/2013,11/24/2013,Juegos Bolivarianos,Lima,PERU,,FEDERACIÓN ECUESTRE DE COLOMBIA
FEI Children Jumping Classic Mudial FEI,12/10/2013,12/15/2013,Torneo Abierto,Brasilia,BRASIL,,FEDERACIÓN ECUESTRE DE COLOMBIA
CONCENTRACION PANAMERICANO MAYORES,05/31/2013,06/06/2013,Concentración Nacional,Bogotá D.C. y Cali,COLOMBIA,,FEDERACIÓN COLOMBIANA DE ESGRIMA
CAMPEONATO NACIONAL VENCEDORES/3ER ESCALAFÓN MAYORES,06/06/2013,06/10/2013,Campeonato Nacional,Cali ,COLOMBIA, Valle del Cauca,FEDERACIÓN COLOMBIANA DE ESGRIMA
CAMPEONATO PANAMERICANO MAYORES,06/15/2013,06/22/2013,Campeonato Panamericano,Cartagena,COLOMBIA,Bolívar,FEDERACIÓN COLOMBIANA DE ESGRIMA
1ER FESTIVAL INFANTIL/2DO ESCALAFÓN NACIONAL CADETES Y JUVENILES,07/17/2013,07/21/2013,Campeonato Nacional,Manizales ,COLOMBIA, Caldas,FEDERACIÓN COLOMBIANA DE ESGRIMA
CAMPEONATO MUNDIAL MAYORES,08/06/2013,08/14/2013,Campeonato Mundial,Budapest,HUNGRIA,,FEDERACIÓN COLOMBIANA DE ESGRIMA
CAMPEONATO PANAMERICANO INFANTIL - VETERANOS,08/16/2013,08/20/2013,Campeonato Panamericano,San José,COSTA RICA,,FEDERACIÓN COLOMBIANA DE ESGRIMA
CAMPEONATO SENIOR MASTER,08/17/2013,08/19/2013,Campeonato Nacional,Ibague ,COLOMBIA, Tolima,FEDERACIÓN COLOMBIANA DE ESGRIMA
2DO FESTIVAL INFANTIL/2ER ESCALAFÓN CADETES Y JUVENIL,09/05/2013,09/08/2013,Campeonato Nacional,Madrid ,COLOMBIA, Cundinamarca,FEDERACIÓN COLOMBIANA DE ESGRIMA
CAMPEONATO CENTROAMERICANO Y DEL CARIBE MAYORES,09/06/2013,09/10/2013,Campeonato Centroamericano y del Caribe,Guatemala ,GUATEMALA,,FEDERACIÓN COLOMBIANA DE ESGRIMA
JUEGOS SURAMERICANOS JUVENILES,09/18/2013,09/29/2013,Juegos Suramericanos,Lima,PERU,,FEDERACIÓN COLOMBIANA DE ESGRIMA
4TO ESCALAFÓN NACIONAL DE MAYORES,10/10/2013,10/13/2013,Campeonato Nacional,Pereira ,COLOMBIA, Risaralda,FEDERACIÓN COLOMBIANA DE ESGRIMA
CAMPEONATO CENTROAMERICANO Y DEL CARIBE CADETES Y JUVENIL,10/18/2013,10/21/2013,Campeonato Centroamericano y del Caribe,Nicaragua,NICARAGUA,,FEDERACIÓN COLOMBIANA DE ESGRIMA
TORNEO INVITACIONAL DE SABLE ROSALBA RINCÓN,11/02/2013,11/05/2013,Campeonato Nacional,Cali ,COLOMBIA, Valle del Cauca,FEDERACIÓN COLOMBIANA DE ESGRIMA
GRAN NACIONAL DE MAYORES,11/06/2013,11/11/2013,Campeonato Nacional,Cali ,COLOMBIA, Valle del Cauca,FEDERACIÓN COLOMBIANA DE ESGRIMA
JUEGOS BOLIVARIANOS,11/15/2013,11/30/2013,Juegos Bolivarianos,Lima,PERU,,FEDERACIÓN COLOMBIANA DE ESGRIMA
"GRAN NACIONAL INFANTIL, CADETES Y JUVENIL",12/03/2013,12/08/2013,Juegos Nacionales,Medellín,COLOMBIA, Antioquia,FEDERACIÓN COLOMBIANA DE ESGRIMA
CURSO DE POLITICA DE HABITOS Y ESTILOS DE VIDA SALUDABLE,09/16/2013,09/19/2013,,,COLOMBIA,,COLDEPORTES
ENCUENTROS REGIONALES DE HYEVS EN NORTE Y SUR DE COLOMBIA,10/08/2013,10/11/2013,,,COLOMBIA,,COLDEPORTES
ENCUENTROS REGIONALES DE HYEVS EN NORTE Y SUR DE COLOMBIA,10/22/2013,10/22/2013,,,COLOMBIA,,COLDEPORTES
REUNION ANUAL DE RED DE RIPAF ,09/19/2013,09/19/2013,,,COLOMBIA,,COLDEPORTES
REUNION ANUAL DE RECOVIAS Y SOCIALIZACION,11/09/2013,11/09/2013,,,COLOMBIA,,COLDEPORTES
"""5K POR LA SALUD""",09/29/2013,09/29/2013,,,COLOMBIA,,COLDEPORTES
XIV ENCUENTRO NACIONAL NUEVO COMIENZO,09/27/2013,31/09/2013,,,COLOMBIA,,COLDEPORTES
ENCUENTRO REGIONAL  SOCIALIZACION LINEAMIENTOS DISCAPACIDAD (3),09/18/2013,09/20/2013,,,COLOMBIA,,COLDEPORTES
JUEGOS LITORAL PACIFICO,11/20/2013,11/25/2013,,,COLOMBIA,,COLDEPORTES
" 7 REGIONALES SUPÉRATE-INTERCOLEGIADOS Categoría ""A""",10/07/2013,10/11/2013,,,COLOMBIA,,COLDEPORTES
" 7 REGIONALES SUPÉRATE-INTERCOLEGIADOS Categoría ""B""",10/07/2013,10/11/2013,,,COLOMBIA,,COLDEPORTES
"FINAL NACIONAL SUPÉRATE-INTERCOLEGIADOS 2013 Categoría ""A""",10/19/2013,10/31/2013,,,COLOMBIA,,COLDEPORTES
"FINAL NACIONAL SUPÉRATE-INTERCOLEGIADOS 2013 Categoría ""B""",10/19/2013,10/31/2013,,,COLOMBIA,,COLDEPORTES
IV   JUEGOS ESCOLARES  CENTROAMERICANOS Y DEL CARIBE 2013,10/31/2013,11/09/2013,,,COLOMBIA,,COLDEPORTES
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
