Subject,Start Date,End Date,Description,Location,País,Territorio,Entidad
JUEGOS MUNDIALES CALI 2013,07/25/2013,08/04/2013,Juegos Mundiales,Cali,COLOMBIA,Valle del Cauca,FEDERACIÓN ARQUEROS DE COLOMBIA
5 PARADA REGIONAL DE TIRO CON ARCO,08/05/2013,08/30/2013,Evento de Preparacion Deportiva,Monteria ,COLOMBIA, Córdoba,FEDERACIÓN ARQUEROS DE COLOMBIA
4 COPA MUNDO DE TRIO CON ARCO,08/12/2013,08/18/2013,Copa Mundo,Woroclaw,POLONIA,,FEDERACIÓN ARQUEROS DE COLOMBIA
CURSO DE ENTRENADORES MODALIDAD RECURVO,08/12/2013,08/15/2013,Evento Académico,Bogotá D.C. ,COLOMBIA, Bogotá D.C.,FEDERACIÓN ARQUEROS DE COLOMBIA
CURSO DE ENTRENADORES MODALIDAD RECURVO,08/12/2013,08/15/2013,Evento Académico,Bogotá D.C. ,COLOMBIA, Bogotá D.C.,FEDERACIÓN ARQUEROS DE COLOMBIA
5º CAMPEONATO NACIONAL INTERLIGAS,08/16/2013,08/18/2013,Campeonato Nacional,Bogotá D.C. ,COLOMBIA, Bogotá D.C.,FEDERACIÓN ARQUEROS DE COLOMBIA
RANKING MUNDIAL,08/17/2013,08/25/2013,Campeonato Centroamericano y del Caribe,San José,COSTA RICA,,FEDERACIÓN ARQUEROS DE COLOMBIA
6 PARADA REGIONAL DE FORMACION DE ARQUEROS,09/02/2013,09/27/2013,Evento de Preparacion Deportiva,Soacha,COLOMBIA,Cundinamarca,FEDERACIÓN ARQUEROS DE COLOMBIA
World Archery Championships,09/29/2013,10/06/2013,Campeonato Mundial,Antalya,TURQUIA,,FEDERACIÓN ARQUEROS DE COLOMBIA
7ª PARADA REGIONAL DE FORMACION DE ARQUEROS,10/07/2013,10/28/2013,Evento de Preparacion Deportiva,Villavicencio ,COLOMBIA, Meta,FEDERACIÓN ARQUEROS DE COLOMBIA
WORLD ARCHERY YOUNTH CHAMPIONSHIPS,10/13/2013,10/20/2013,Campeonato Mundial,Wuxi,CHINA,,FEDERACIÓN ARQUEROS DE COLOMBIA
TORNEO RANKING MUNDIAL,10/25/2013,11/02/2013,Campeonato Mundial,Santiago de Chile,CHILE,,FEDERACIÓN ARQUEROS DE COLOMBIA
III TORNEO RANKING MUNDIAL,10/25/2013,11/02/2013,Campeonato Suramericano,Santiago de Chile,CHILE,,FEDERACIÓN ARQUEROS DE COLOMBIA
EVENTO CLASIFICATORIO A LOS JUEGOS OLIMPICOS JUVENILES 2014,11/01/2013,11/30/2013,Clasificatorio al Mundial,Buenos Aires,ARGENTINA,,FEDERACIÓN ARQUEROS DE COLOMBIA
8ª PARADA REGIONAL DE FORMACION DE ARQUEROS,11/04/2013,11/15/2013,Evento de Preparacion Deportiva,Bucaramanga ,COLOMBIA, Santander,FEDERACIÓN ARQUEROS DE COLOMBIA
XVII JUEGOS BOLIVARIANOS,11/16/2013,11/30/2013,Juegos Bolivarianos,Trujillo,PERU,,FEDERACIÓN ARQUEROS DE COLOMBIA
III CAMPEONATO ESCOLAR DE TIRO CON ARCO,11/28/2013,12/01/2013,Campeonato Nacional,Bogotá D.C. ,COLOMBIA, Bogotá D.C.,FEDERACIÓN ARQUEROS DE COLOMBIA
COPA ARGENTINA DE CADETES Y JUVENILES CLASIFICATORIO A LOS J. OLIMPICOS DE LA JUVENTID 2014,12/02/2013,12/06/2013,Campeonato Suramericano,Buenos Aires,ARGENTINA,,FEDERACIÓN ARQUEROS DE COLOMBIA
CAMPEONATO NACIONAL ABIERTO,12/05/2013,12/08/2013,Campeonato Nacional,Bogotá D.C. ,COLOMBIA, Bogotá D.C.,FEDERACIÓN ARQUEROS DE COLOMBIA
COPA NACIONAL DE MARCHA,04/13/2013,04/13/2013,Campeonato Nacional,Bogotá D.C. ,COLOMBIA, Bogotá D.C.,FEDERACIÓN COLOMBIANA DE ATLETISMO
COPA NACIONAL DE LANZAMIENTOS MANUEL PASOS LOPEZ,04/27/2013,04/28/2013,Campeonato Nacional,Bogotá D.C. ,COLOMBIA, Bogotá D.C.,FEDERACIÓN COLOMBIANA DE ATLETISMO
CAMPEONATO NACIONAL INFANTIL CATEGORÍA A,05/04/2013,05/05/2013,Campeonato Nacional,Turbo ,COLOMBIA, Antioquia,FEDERACIÓN COLOMBIANA DE ATLETISMO
CAMPEONATO NACIONAL MENORES,05/17/2013,05/19/2013,Campeonato Nacional,Cali ,COLOMBIA, Valle del Cauca,FEDERACIÓN COLOMBIANA DE ATLETISMO
COPA PANAMERICANA DE MARCHA ATLETICA,05/25/2013,05/26/2013,Campeonato Panamericano,Guatemala ,GUATEMALA,,FEDERACIÓN COLOMBIANA DE ATLETISMO
GRAND PRIX INTERNACIONAL XIMENA RESTREPO,05/25/2013,05/25/2013,Grand Prix Internacional,Medellín,COLOMBIA, Antioquia,FEDERACIÓN COLOMBIANA DE ATLETISMO
FESTIVAL DE SEMIFONDO Y FONDO,05/26/2013,05/26/2013,Torneo Abierto,Medellín,COLOMBIA, Antioquia,FEDERACIÓN COLOMBIANA DE ATLETISMO
CAMPEONATO NACIONAL MAYORES,06/07/2013,06/09/2013,Campeonato Nacional,Cartagena ,COLOMBIA, Bolívar,FEDERACIÓN COLOMBIANA DE ATLETISMO
GRAND PRIX INTERNACIONAL ESCUELA NACIONAL DEL DEPORTE,06/22/2013,06/22/2013,Grand Prix Internacional,Cali,COLOMBIA,Valle del Cauca,FEDERACIÓN COLOMBIANA DE ATLETISMO
FESTIVAL DE SEMIFONDO Y FONDO,06/23/2013,06/23/2013,Torneo Abierto,Cali ,COLOMBIA, Valle del Cauca,FEDERACIÓN COLOMBIANA DE ATLETISMO
CAMPEONATO NACIONAL EN MONTAÑA,06/30/2013,06/30/2013,Campeonato Nacional,Medellín,COLOMBIA, Antioquia,FEDERACIÓN COLOMBIANA DE ATLETISMO
CAMPEONATO SURAMERICANO MAYORES,07/05/2013,07/07/2013,Campeonato Suramericano,Cartagena,COLOMBIA,Bolívar,FEDERACIÓN COLOMBIANA DE ATLETISMO
CAMPEONATO MUNDIAL MENORES,07/10/2013,07/14/2013,Campeonato Mundial,Donets,UCRANIA,,FEDERACIÓN COLOMBIANA DE ATLETISMO
CAMPEONATO NACIONAL JUVENIL,07/12/2013,07/14/2013,Campeonato Nacional,Medellín,COLOMBIA, Antioquia,FEDERACIÓN COLOMBIANA DE ATLETISMO
GRAND PRIX INTERNACIONAL IDRD,07/20/2013,07/20/2013,Grand Prix Internacional,Bogotá D.C. ,COLOMBIA, Bogotá D.C.,FEDERACIÓN COLOMBIANA DE ATLETISMO
FESTIVAL DE SEMIFONDO Y FONDO,07/21/2013,07/21/2013,Torneo Abierto,Bogotá D.C. ,COLOMBIA, Bogotá D.C.,FEDERACIÓN COLOMBIANA DE ATLETISMO
CAMPEONATO PANAMERICANO JUVENIL,08/02/2013,08/04/2013,Campeonato Panamericano,Lima,PERU,,FEDERACIÓN COLOMBIANA DE ATLETISMO
CAMPEONATO MUNDIAL DE ATLETISMO,08/10/2013,08/18/2013,Campeonato Mundial,Moscú,RUSIA,,FEDERACIÓN COLOMBIANA DE ATLETISMO
CAMPEONATO NACIONAL INFANTIL CATEGORIA B,09/07/2013,09/08/2013,Campeonato Nacional,Santander De Quilichao ,COLOMBIA, Cauca,FEDERACIÓN COLOMBIANA DE ATLETISMO
CAMPEONATO MUNDIAL DE MONTAÑA,09/08/2013,09/08/2013,Campeonato Mundial,Krynica Zdroj,POLONIA,,FEDERACIÓN COLOMBIANA DE ATLETISMO
CAMPEONATO NACIONAL MUNICIPAL Y DE CLUBES,09/28/2013,09/29/2013,Campeonato Nacional,Bogotá D.C. ,COLOMBIA, Bogotá D.C.,FEDERACIÓN COLOMBIANA DE ATLETISMO
CAMPEONATO NACIONAL MUNICIPAL Y DE CLUBES,10/05/2013,10/06/2013,Campeonato Nacional,Medellín,COLOMBIA, Antioquia,FEDERACIÓN COLOMBIANA DE ATLETISMO
CAMPEONATO SURAMERICANO DE MARATON,10/06/2013,10/06/2013,Campeonato Suramericano,Buenos Aires,ARGENTINA,,FEDERACIÓN COLOMBIANA DE ATLETISMO
CAMPEONATO SURAMERICANO JUVENIL,10/18/2013,10/20/2013,Campeonato Suramericano,Resistencia,ARGENTINA,,FEDERACIÓN COLOMBIANA DE ATLETISMO
Campeonato de Automovilismo,05/03/2013,05/05/2013,Campeonato Nacional,Tocancipa ,COLOMBIA, Cundinamarca,FEDERACIÓN COLOMBIANA DE AUTOMOVILISMO DEPORTIVO
Campeonato de TC2000,05/05/2013,05/05/2013,Campeonato Nacional,Tocancipa ,COLOMBIA, Cundinamarca,FEDERACIÓN COLOMBIANA DE AUTOMOVILISMO DEPORTIVO
Copa Naspal Rally Colombia,05/05/2013,05/05/2013,Campeonato Nacional,Bojaca ,COLOMBIA, Cundinamarca,FEDERACIÓN COLOMBIANA DE AUTOMOVILISMO DEPORTIVO
Campeonato Nacional de Automovilismo,05/25/2013,05/26/2013,Campeonato Nacional,Tocancipa ,COLOMBIA, Cundinamarca,FEDERACIÓN COLOMBIANA DE AUTOMOVILISMO DEPORTIVO
Campeonato Colombiano de Rally,06/01/2013,06/01/2013,Campeonato Nacional,Pasto ,COLOMBIA, Nariño,FEDERACIÓN COLOMBIANA DE AUTOMOVILISMO DEPORTIVO
Copa Naspal Rally Colombia,06/01/2013,06/01/2013,Campeonato Nacional,Bojaca ,COLOMBIA, Cundinamarca,FEDERACIÓN COLOMBIANA DE AUTOMOVILISMO DEPORTIVO
Campeonato TC2000,06/15/2013,06/15/2013,Campeonato Nacional,Tocancipa ,COLOMBIA, Cundinamarca,FEDERACIÓN COLOMBIANA DE AUTOMOVILISMO DEPORTIVO
Copa Mac,06/15/2013,06/16/2013,Campeonato Nacional,Candelaria ,COLOMBIA, Valle del Cauca,FEDERACIÓN COLOMBIANA DE AUTOMOVILISMO DEPORTIVO
Campeoanto Nacional de Camper Cross,06/16/2013,06/16/2013,Campeonato Nacional,Tocancipa ,COLOMBIA, Cundinamarca,FEDERACIÓN COLOMBIANA DE AUTOMOVILISMO DEPORTIVO
Campaonato Nacional de Piques cuarto de Milla,06/16/2013,06/16/2013,Campeonato Nacional,Tocancipa ,COLOMBIA, Cundinamarca,FEDERACIÓN COLOMBIANA DE AUTOMOVILISMO DEPORTIVO
Copa Naspal Rally Colombia,06/30/2013,06/30/2013,Campeonato Nacional,Susacon ,COLOMBIA, Boyacá,FEDERACIÓN COLOMBIANA DE AUTOMOVILISMO DEPORTIVO
Campaonato Nacional de Trial,06/30/2013,06/30/2013,Campeonato Nacional,Guatavita ,COLOMBIA, Cundinamarca,FEDERACIÓN COLOMBIANA DE AUTOMOVILISMO DEPORTIVO
Campaonato Nacional de Automovilismo,07/06/2013,07/07/2013,Campeonato Nacional,Tocancipa ,COLOMBIA, Cundinamarca,FEDERACIÓN COLOMBIANA DE AUTOMOVILISMO DEPORTIVO
Campaonato Colombiano de Rally,07/12/2013,07/13/2013,Campeonato Nacional,Puerto Lopez ,COLOMBIA, Meta,FEDERACIÓN COLOMBIANA DE AUTOMOVILISMO DEPORTIVO
XXVI Gran Premio Nacional de Tractomulas,07/12/2013,07/14/2013,Campeonato Nacional,Tocancipa ,COLOMBIA, Cundinamarca,FEDERACIÓN COLOMBIANA DE AUTOMOVILISMO DEPORTIVO
Campaonato TC2000,07/21/2013,07/21/2013,Campeonato Nacional,Tocancipa ,COLOMBIA, Cundinamarca,FEDERACIÓN COLOMBIANA DE AUTOMOVILISMO DEPORTIVO
Copa Colombia,07/27/2013,07/28/2013,Campeonato Nacional,Rionegro ,COLOMBIA, Antioquia,FEDERACIÓN COLOMBIANA DE AUTOMOVILISMO DEPORTIVO
